연번,항목명,코드값,데이터변수명,코드값 설명
1.0,조사구 매칭값,-,KEY,-
2.0,가구 매칭값,-,KEY_HOUSE,-
3.0,가구 정보통신기기  보유 여부_1),1,Q1_1,데스크탑 컴퓨터
,,2,,노트북 컴퓨터
,,3,,"일반TV (아날로그, 디지털 포함)"
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
,,9,,"전자책 단말기(리디북스 페이퍼 프로, 크레마, 아이리버 샘, 킨들, 코보 등)"
,,10,,"스마트 가전(냉장고, 에어컨, 세탁기, 전등 등)"
,,11,,"AI 로봇(AI 로봇청소기, AI 돌봄/반려 로봇, AI 장난감 로봇 등)"
,,9997,,기타
,,9998,,보유기기 전혀 없음
4.0,가구 정보통신기기  보유 여부_2),1,Q1_2,데스크탑 컴퓨터
,,2,,노트북 컴퓨터
,,3,,"일반TV (아날로그, 디지털 포함)"
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
,,9,,"전자책 단말기(리디북스 페이퍼 프로, 크레마, 아이리버 샘, 킨들, 코보 등)"
,,10,,"스마트 가전(냉장고, 에어컨, 세탁기, 전등 등)"
,,11,,"AI 로봇(AI 로봇청소기, AI 돌봄/반려 로봇, AI 장난감 로봇 등)"
,,9997,,기타
,,9998,,보유기기 전혀 없음
5.0,가구 정보통신기기  보유 여부_3),1,Q1_3,데스크탑 컴퓨터
,,2,,노트북 컴퓨터
,,3,,"일반TV (아날로그, 디지털 포함)"
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
,,9,,"전자책 단말기(리디북스 페이퍼 프로, 크레마, 아이리버 샘, 킨들, 코보 등)"
,,10,,"스마트 가전(냉장고, 에어컨, 세탁기, 전등 등)"
,,11,,"AI 로봇(AI 로봇청소기, AI 돌봄/반려 로봇, AI 장난감 로봇 등)"
,,9997,,기타
,,9998,,보유기기 전혀 없음
6.0,가구 정보통신기기  보유 여부_4),1,Q1_4,데스크탑 컴퓨터
,,2,,노트북 컴퓨터
,,3,,"일반TV (아날로그, 디지털 포함)"
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
,,9,,"전자책 단말기(리디북스 페이퍼 프로, 크레마, 아이리버 샘, 킨들, 코보 등)"
,,10,,"스마트 가전(냉장고, 에어컨, 세탁기, 전등 등)"
,,11,,"AI 로봇(AI 로봇청소기, AI 돌봄/반려 로봇, AI 장난감 로봇 등)"
,,9997,,기타
,,9998,,보유기기 전혀 없음
7.0,가구 정보통신기기  보유 여부_5),1,Q1_5,데스크탑 컴퓨터
,,2,,노트북 컴퓨터
,,3,,"일반TV (아날로그, 디지털 포함)"
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
,,9,,"전자책 단말기(리디북스 페이퍼 프로, 크레마, 아이리버 샘, 킨들, 코보 등)"
,,10,,"스마트 가전(냉장고, 에어컨, 세탁기, 전등 등)"
,,11,,"AI 로봇(AI 로봇청소기, AI 돌봄/반려 로봇, AI 장난감 로봇 등)"
,,9997,,기타
,,9998,,보유기기 전혀 없음
8.0,가구 정보통신기기  보유 여부_6),1,Q1_6,데스크탑 컴퓨터
,,2,,노트북 컴퓨터
,,3,,"일반TV (아날로그, 디지털 포함)"
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
,,9,,"전자책 단말기(리디북스 페이퍼 프로, 크레마, 아이리버 샘, 킨들, 코보 등)"
,,10,,"스마트 가전(냉장고, 에어컨, 세탁기, 전등 등)"
,,11,,"AI 로봇(AI 로봇청소기, AI 돌봄/반려 로봇, AI 장난감 로봇 등)"
,,9997,,기타
,,9998,,보유기기 전혀 없음
9.0,가구 정보통신기기  보유 여부_7),1,Q1_7,데스크탑 컴퓨터
,,2,,노트북 컴퓨터
,,3,,"일반TV (아날로그, 디지털 포함)"
,,4,,스마트TV (인터넷 가능함)
,,5,,"게임기(플레이스테이션, PSP, XBOX, 닌텐도 3DS, 닌텐도 스위치 등)"
,,6,,스마트폰
,,7,,"태블릿PC(갤럭시탭, 아이패드 등 태블릿)"
,,8,,"인공 지능 스피커(SK텔레콤 누구(NUGU), KT 기가지니, 애플 홈팟, 네이버 클로바, 카카오미니 등)"
