"특성별(1)",특성별(2),2017,2017,2017,2017,2017,2017
"특성별(1)",특성별(2),사례수 (명),느린 속도 (%),이용 방법이 어려움 (%),이용 비용 부담 (%),기타 (%),특별히 없다 (%)
"합계",소계,2774,11.9,2.8,17.4,0.1,67.8
"읍/면",읍,1376,9.1,1.1,15.7,0.1,74.0
"읍/면",면,1398,14.6,4.5,19.1,0.1,61.7
"영농여부",농어가,763,12.8,6.3,19.4,0.1,61.4
"영농여부",비농어가,2011,11.5,1.5,16.7,0.1,70.2
"응답자 연령",30대 이하,1054,11.5,0.0,16.7,0.0,71.8
"응답자 연령",40대,661,17.8,1.2,15.0,0.4,65.6
"응답자 연령",50대,637,9.0,4.0,20.7,0.0,66.4
"응답자 연령",60대,305,7.6,9.4,16.7,0.1,66.2
"응답자 연령",70대 이상,116,7.9,13.9,21.9,0.0,56.3
