KEY,KEY_HOUSE,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q1_8,Q1_9,Q1_10,Q1_11,Q1_9997,Q1_9997_TXT,Q1_9998,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_5_TXT,Q3_9999,Q3_9999_TXT,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9998,Q5,WT1,D_AGE,D_INC,D_AREA1,SIDO1,SIDO2
110105300501,11010530050103,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,4,1608.3024054982818,5,3,1,1,1
110105300501,11010530050106,1.0,2.0,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,9,1608.3024054982818,4,5,1,1,1
110105300501,11010530050109,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,6,1608.3024054982818,5,5,1,1,1
110105300501,11010530050112,1.0,,,4.0,,6.0,,8.0,,10.0,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,7,1608.3024054982818,2,5,1,1,1
110105300501,11010530050115,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,7,1608.3024054982818,3,5,1,1,1
110105300501,11010530050116,,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,4.0,,,,,,,3,4.0,5.0,,,,,6,1608.3024054982818,3,5,1,1,1
110105300501,11010530050128,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,6,1608.3024054982818,5,5,1,1,1
110105300501,11010530050137,,,,4.0,,6.0,,8.0,,10.0,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,7,1608.3024054982818,4,5,1,1,1
110105300501,11010530050146,1.0,,,4.0,,6.0,,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,7,1608.3024054982818,4,5,1,1,1
110105300501,11010530050182,,,,4.0,,6.0,,8.0,,10.0,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,8,1608.3024054982818,3,5,1,1,1
11010570045A,11010570045A02,1.0,2.0,,4.0,,6.0,,8.0,,10.0,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,7,1588.8555555555556,3,5,1,1,1
11010570045A,11010570045A05,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,6,1588.8555555555556,5,5,1,1,1
11010570045A,11010570045A09,1.0,2.0,,4.0,,6.0,7.0,8.0,,,,,,,1,1.0,2.0,3.0,4.0,,,,,,,3,4.0,5.0,,,8.0,,8,1588.8555555555556,5,5,1,1,1
11010570045A,11010570045A10,,2.0,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,5,1588.8555555555556,5,4,1,1,1
11010570045A,11010570045A14,,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,5,1588.8555555555556,5,4,1,1,1
11010570045A,11010570045A17,,2.0,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,4,1588.8555555555556,5,3,1,1,1
11010570045A,11010570045A18,,,,4.0,,6.0,,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,6,1588.8555555555556,4,5,1,1,1
11010570045A,11010570045A19,1.0,,,4.0,,6.0,,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,6.0,,8.0,,6,1588.8555555555556,4,5,1,1,1
11010570045A,11010570045A33,1.0,,,4.0,,6.0,,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,6.0,,8.0,,8,1588.8555555555556,5,5,1,1,1
11010570045A,11010570045A57,1.0,2.0,,4.0,,6.0,7.0,8.0,,,,,,,1,1.0,2.0,3.0,4.0,,,,,,,3,4.0,5.0,,,8.0,,9,1588.8555555555556,5,5,1,1,1
110106900391,11010690039103,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,6,1608.3024054982818,4,5,1,1,1
110106900391,11010690039107,,,,4.0,,6.0,7.0,,,,,,,,1,,2.0,3.0,,,,,,,,3,,,6.0,,,,2,1608.3024054982818,5,1,1,1,1
110106900391,11010690039111,1.0,2.0,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,6,1608.3024054982818,4,5,1,1,1
110106900391,11010690039115,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,4,1608.3024054982818,4,3,1,1,1
110106900391,11010690039116,,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,3,1608.3024054982818,5,2,1,1,1
110106900391,11010690039117,1.0,,,4.0,,6.0,7.0,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,6,1608.3024054982818,3,5,1,1,1
110106900391,11010690039123,,2.0,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,3,1608.3024054982818,5,2,1,1,1
110106900391,11010690039124,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,4,1608.3024054982818,5,3,1,1,1
110106900391,11010690039141,1.0,2.0,,4.0,,6.0,7.0,,,,,,,,1,1.0,2.0,3.0,4.0,,,,,,,3,4.0,5.0,,,,,10,1608.3024054982818,5,5,1,1,1
110106900391,11010690039173,,,,4.0,,6.0,,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,8,1608.3024054982818,4,5,1,1,1
110107301151,11010730115103,1.0,,,4.0,,6.0,,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,4,1608.3024054982818,5,3,1,1,1
110107301151,11010730115112,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,7,1608.3024054982818,4,5,1,1,1
110107301151,11010730115116,,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,5,1608.3024054982818,4,4,1,1,1
110107301151,11010730115124,,2.0,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,6,1608.3024054982818,3,5,1,1,1
110107301151,11010730115125,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,6,1608.3024054982818,3,5,1,1,1
110107301151,11010730115126,,2.0,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,3,1608.3024054982818,5,2,1,1,1
110107301151,11010730115130,1.0,,,4.0,,6.0,,,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,,,5,1608.3024054982818,2,4,1,1,1
110107301151,11010730115133,1.0,2.0,,4.0,,6.0,,8.0,,,,,,,1,1.0,2.0,3.0,,,,,,,,3,4.0,5.0,,,8.0,,7,1608.3024054982818,4,5,1,1,1
