"특성별(1)",특성별(2),2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"특성별(1)",특성별(2),1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1+2+3순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위,1+2순위
"특성별(1)",특성별(2),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),임신육아종합포털(아이사랑) (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),기상청 날씨알리미 (%),없음 (%),사례수 (명),정부24 (%),국민신문고 (%),안전신문고 (%),국세청 홈택스(손택스) (%),스마트 위택스 (%),우체국 우체국스마트뱅킹 우체국보험 우체국쇼핑몰 (%),코레일톡 SRT (%),청약홈 (%),대한민국구석구석 (%),복지로 (%),나이스플러스 (%),내 곁에 국민연금 (%),모바일 신분증(모바일 운전면허증·공무원증·국가보훈등록증) (%),The건강보험 (%),대법원 인터넷 등기소 (%),고용24 (%),기상청 날씨알리미 (%),없음 (%)
"전체",소계,919021,44.0,21.9,5.7,13.5,21.0,2.2,23.1,7.5,0.8,1.1,8.7,2.2,2.3,5.3,6.8,1.8,1.4,19.8,130.7,919021,20.3,10.3,1.1,5.2,8.3,0.7,6.4,3.0,2.9,0.8,1.3,0.8,3.6,1.8,5.3,40.3,919021,31.5,15.6,3.4,9.7,17.9,1.4,15.9,5.2,1.1,5.7,2.2,1.8,3.6,5.4,1.8,0.7,12.5,87.7
"성별",남성,449965,53.5,22.6,2.2,20.0,8.5,0.0,23.2,6.1,0.0,2.2,7.8,3.1,4.7,7.9,10.2,3.7,1.5,20.2,120.3,449965,22.5,10.6,2.2,9.2,4.7,0.0,5.1,3.1,4.4,1.6,2.7,1.5,3.7,3.7,4.1,38.1,449965,37.5,15.6,2.2,13.8,7.5,0.0,14.9,6.1,2.2,6.3,3.1,3.7,4.6,7.3,3.7,1.5,12.1,85.7
"성별",여성,469056,34.7,21.3,9.0,7.3,33.0,4.2,23.1,8.9,1.5,0.0,9.5,1.4,0.0,2.7,3.6,0.0,1.4,19.4,140.7,469056,18.2,10.1,0.0,1.5,11.7,1.4,7.7,2.9,1.4,0.0,0.0,0.0,3.6,0.0,6.5,42.5,469056,25.7,15.7,4.5,5.8,27.9,2.8,16.8,4.4,0.0,5.2,1.4,0.0,2.7,3.6,0.0,0.0,12.9,89.5
"연령별",16~19세,52773,40.5,93.9,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.3,35.3,52773,40.5,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,11.8,52773,40.5,62.6,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,23.5
"연령별",20~29세,98455,28.5,0.0,0.0,0.0,0.0,0.0,39.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.2,98455,28.5,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.2,98455,28.5,0.0,0.0,0.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.7
"연령별",30~39세,160797,34.6,23.4,26.2,30.2,46.9,0.0,35.2,17.5,0.0,0.0,2.6,8.7,0.0,16.6,0.0,0.0,0.0,0.0,110.3,160797,16.6,23.4,0.0,9.6,23.4,0.0,10.3,4.3,0.0,4.3,0.0,0.0,0.0,0.0,0.0,35.2,160797,30.7,23.4,13.1,19.9,46.9,0.0,20.6,4.3,0.0,2.6,8.7,0.0,12.2,0.0,0.0,0.0,0.0,63.6
"연령별",40~49세,205667,60.9,31.0,4.8,15.2,31.5,3.3,3.0,3.3,0.0,4.8,17.1,0.0,6.4,0.0,6.4,0.0,0.0,6.0,141.5,205667,19.5,11.6,4.8,7.6,10.5,0.0,0.0,0.0,9.6,0.0,2.1,0.0,2.1,0.0,0.0,47.0,205667,35.1,19.2,4.8,9.7,21.0,3.3,3.0,3.3,4.8,13.9,0.0,4.3,0.0,4.3,0.0,0.0,3.0,98.1
